Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL
1,FRS-G-1,462.562500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
2,FRS-G-2,462.587500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
3,FRS-G-3,462.612500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
4,FRS-G-4,462.637500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
5,FRS-G-5,462.662500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
6,FRS-G-6,462.687500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
7,FRS-G-7,462.712500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
8,FRS-8,467.562500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
9,FRS-9,467.587500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
10,FRS-10,467.612500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
11,FRS-11,467.637500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
12,FRS-12,467.662500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
13,FRS-13,467.687500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
14,FRS-14,467.712500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
15,GMRS-15,462.550000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
16,GMRS-16,462.575000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
17,GMRS-17,462.600000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
18,GMRS-18,462.625000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
19,GMRS-19,462.650000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
20,GMRS-20,462.675000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
21,GMRS-21,462.700000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
22,GMRS-22,462.725000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
23,MURS1,151.820000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
24,MURS2,151.880000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
25,MURS3,151.940000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
26,MURS4,154.570000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
27,MURS5,154.600000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
28,CALL2M,144.200000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
29,CALL70C,432.100000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
30,SIMP2M1,146.520000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
31,SIMP2M2,146.540000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
32,SIMP2M3,146.560000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
33,76 'S,146.760000,-,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
34,UCARES,147.340000,+,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
35,UCAR LM,147.280000,+,0.600000,Tone,141.3,88.5,023,NN,FM,5.00,,,,,,
36,EDG SC,147.220000,+,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
37,WIN,447.050000,-,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
38,FARNOR,151.880000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
39,BSH SIM,147.020000,,0.000000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
40,BSH ALT,145.590000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
41,BEARLK,147.380000,+,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
42,BEARLKT,147.020000,+,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
43,CABIN T,146.860000,-,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
44,LO,145.410000,-,0.600000,Tone,103.5,88.5,023,NN,FM,5.00,,,,,,
45,OG,145.410000,-,0.600000,Tone,123.0,88.5,023,NN,FM,5.00,,,,,,
46,ANTELO1,147.040000,+,0.600000,Tone,123.0,88.5,023,NN,FM,5.00,,,,,,
47,ANTELO2,447.200000,-,5.000000,Tone,127.3,88.5,023,NN,FM,5.00,,,,,,
48,WH,448.775000,-,5.000000,Tone,123.0,88.5,023,NN,FM,5.00,,,,,,
49,CL,447.150000,-,5.000000,Tone,114.8,88.5,023,NN,FM,5.00,,,,,,
50,KASHPK1,449.875000,-,5.000000,Tone,167.9,88.5,023,NN,FM,5.00,,,,,,
51,KASHPK2,146.960000,-,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
52,KASEWER,449.700000,-,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
53,BO GOLF,449.925000,-,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
54,BOENPK1,146.700000,-,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
55,BOENPK2,147.160000,+,0.600000,Tone,127.3,88.5,023,NN,FM,5.00,,,,,,
56,SLCAPTL,145.410000,-,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
57,SLAIRPO,448.050000,-,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
58,SLUUHOS,448.100000,-,5.000000,Tone,114.8,88.5,023,NN,FM,5.00,,,,,,
59,SLCARRI,145.410000,-,0.600000,DTCS,88.5,88.5,125,NN,FM,5.00,,,,,,
60,SLFNPK1,146.620000,-,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
61,SLFNPK2,448.150000,-,5.000000,Tone,127.3,88.5,023,NN,FM,5.00,,,,,,
62,SLFNPKT,147.120000,+,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
63,CCSL,449.500000,-,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
64,WV IHC,448.550000,-,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
65,SLSOMTN,448.350000,-,5.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
66,DR,447.375000,-,5.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
67,SLBUTPK,145.450000,-,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
68,SNOWB T,147.180000,+,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
69,BRGHTON,145.270000,-,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
70,HISUNCR,447.100000,-,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
71,HI POLN,154.860000,off,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
72,HI POLS,158.970000,off,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
73,HI FIRE,153.950000,off,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
